timestamp,ticker,open,high,low,close
2025-12-05 09:30:00-05:00,I:SPX,6866.32,6875.18,6866.32,6873.21
2025-12-05 09:31:00-05:00,I:SPX,6874.03,6878.6900000000005,6873.21,6876.3
2025-12-05 09:32:00-05:00,I:SPX,6876.46,6877.47,6874.62,6875.110000000001
2025-12-05 09:33:00-05:00,I:SPX,6875.25,6877.32,6875.25,6875.81
2025-12-05 09:34:00-05:00,I:SPX,6876.2300000000005,6877.110000000001,6873.67,6873.67
2025-12-05 09:35:00-05:00,I:SPX,6873.63,6874.59,6872.62,6872.8
2025-12-05 09:36:00-05:00,I:SPX,6872.52,6874.02,6871.67,6874.02
2025-12-05 09:37:00-05:00,I:SPX,6874.1,6877.39,6874.1,6875.95
2025-12-05 09:38:00-05:00,I:SPX,6875.77,6876.66,6874.87,6875.02
2025-12-05 09:39:00-05:00,I:SPX,6875.56,6876.0,6872.01,6872.01
2025-12-05 09:40:00-05:00,I:SPX,6872.14,6874.07,6868.93,6870.7300000000005
2025-12-05 09:41:00-05:00,I:SPX,6870.5,6872.78,6866.56,6868.4800000000005
2025-12-05 09:42:00-05:00,I:SPX,6868.7,6871.58,6867.46,6871.58
2025-12-05 09:43:00-05:00,I:SPX,6871.62,6873.29,6870.4800000000005,6871.75
2025-12-05 09:44:00-05:00,I:SPX,6871.7,6871.7,6869.28,6870.68
2025-12-05 09:45:00-05:00,I:SPX,6870.83,6874.67,6870.83,6873.21
2025-12-05 09:46:00-05:00,I:SPX,6873.400000000001,6875.63,6872.92,6875.27
2025-12-05 09:47:00-05:00,I:SPX,6875.28,6875.400000000001,6873.14,6874.9800000000005
2025-12-05 09:48:00-05:00,I:SPX,6874.89,6875.88,6873.13,6875.56
2025-12-05 09:49:00-05:00,I:SPX,6875.63,6877.29,6875.110000000001,6877.06
2025-12-05 09:50:00-05:00,I:SPX,6877.82,6878.41,6876.5,6877.33
2025-12-05 09:51:00-05:00,I:SPX,6877.21,6878.51,6874.9800000000005,6876.76
2025-12-05 09:52:00-05:00,I:SPX,6876.68,6880.05,6876.68,6879.71
2025-12-05 09:53:00-05:00,I:SPX,6879.68,6882.34,6879.68,6882.34
2025-12-05 09:54:00-05:00,I:SPX,6881.92,6883.31,6881.57,6881.650000000001
2025-12-05 09:55:00-05:00,I:SPX,6881.6900000000005,6882.64,6880.21,6881.43
2025-12-05 09:56:00-05:00,I:SPX,6881.42,6882.13,6877.8,6878.860000000001
2025-12-05 09:57:00-05:00,I:SPX,6878.7300000000005,6880.4400000000005,6877.9400000000005,6879.9400000000005
2025-12-05 09:58:00-05:00,I:SPX,6880.150000000001,6881.25,6879.83,6880.17
2025-12-05 09:59:00-05:00,I:SPX,6880.08,6881.45,6879.6900000000005,6881.42
2025-12-05 10:00:00-05:00,I:SPX,6882.610000000001,6884.06,6879.78,6881.07
