signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,30,15,0.002,>100%,距Support,near,37,0.002640161515763381,-0.0003252692423614384,8.116849587732121,0.5405405405405406,0.0,0.002640161515763381,0.0007691310421579582,0.003,0.002,0.001620816093857444,0.2972972972972973,0.0
G-做空,negative,True,15,15,0.002,70-100%,距HedgeWall,near,15,0.003631339925642593,-0.0004692477297134281,7.7386414375627774,0.6666666666666666,0.06666666666666667,0.003631339925642593,0.0008810848080115636,0.003,0.002,0.0018850799267679005,0.6,0.0
G-做多,negative,False,15,30,0.001,<30%,距Support,far,23,0.0037366693638570207,-0.0004885324242470416,7.648764295668238,0.6086956521739131,0.0,0.0037366693638570207,0.0009114234545697805,0.003,0.002,0.0018049273145140036,0.6086956521739131,0.0
G+做多,positive,False,10,30,0.001,70-100%,距HedgeWall,medium,29,0.0018860111814565637,-0.0002486885337032542,7.583828467568323,0.4827586206896552,0.034482758620689655,0.0018860111814565637,0.0008983613113688127,0.002,0.003,0.0011062635726858355,0.4482758620689655,0.0
G+做多,positive,False,30,30,0.002,>100%,距Support,near,37,0.0031796548676818284,-0.0004281773519543075,7.426023009318675,0.6216216216216216,0.02702702702702703,0.0031796548676818284,0.0009462317711232381,0.003,0.002,0.0017423466037279367,0.5135135135135135,0.0
G-做多,negative,False,10,30,0.001,70-100%,距HedgeWall,near,15,0.0017456123088202696,-0.00024629247231091835,7.087558513021127,0.3333333333333333,0.13333333333333333,0.0017456123088202696,0.0017615357024758152,0.0025,0.002,0.0004807201440459332,0.13333333333333333,0.13333333333333333
G+做多,positive,False,15,15,0.002,>100%,距Support,near,23,0.003219090326713597,-0.00045507119968143424,7.073816864189764,0.8260869565217391,0.0,0.003219090326713597,0.0008623671808288792,0.003,0.002,0.002389650294399745,0.5217391304347826,0.0
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,medium,25,0.0016233961447348125,-0.00023153264084024754,7.011521739843672,0.28,0.04,0.0016233961447348125,0.0006337107399872125,0.003,0.002,0.0009800156585415363,0.12,0.04
G-做多,negative,False,15,30,0.002,<30%,距Support,far,14,0.0037376960983695005,-0.000535199031450473,6.9837497430437425,0.7142857142857143,0.0,0.0037376960983695005,0.0007448700690243144,0.003,0.002,0.002407856990977556,0.7142857142857143,0.0
G-做空,negative,True,10,15,0.002,70-100%,距HedgeWall,near,12,0.003479147861903102,-0.00050006453364793,6.957397751292222,0.6666666666666666,0.16666666666666666,0.003479147861903102,0.000991212515288138,0.003,0.002,0.001771071051873818,0.5833333333333334,0.08333333333333333
G+做多,positive,False,15,15,0.002,70-100%,距HedgeWall,medium,13,0.0018742209034886552,-0.0002694775708308382,6.9550163218043055,0.46153846153846156,0.0,0.0018742209034886552,0.0007184107758689851,0.003,0.002,0.001454648997995088,0.15384615384615385,0.0
G+做多,positive,False,15,30,0.002,>100%,距HedgeWall,far,12,0.00423978634560866,-0.0006121011209196962,6.926610980940996,1.0,0.16666666666666666,0.00423978634560866,0.001399978716127908,0.003,0.002,0.003,1.0,0.0
G-做空,negative,True,15,30,0.002,>100%,距HedgeWall,near,16,0.006887576402942177,-0.0010072631742860181,6.837911460253992,0.9375,0.0625,0.006887576402942177,0.0015871776748683877,0.003,0.002,0.0027971711560544122,0.875,0.0
G-做空,negative,True,15,15,0.001,50-70%,距HedgeWall,medium,30,0.001643110737202822,-0.00024714895564399583,6.64826089562616,0.26666666666666666,0.0,0.001643110737202822,0.0003479540008220977,0.003,0.002,0.0010215281153738657,0.1,0.0
G+做多,positive,False,10,15,0.002,70-100%,距Support,near,19,0.0017893725276934538,-0.0002694775708308382,6.640153843514919,0.42105263157894735,0.21052631578947367,0.0017893725276934538,0.0010314637637283315,0.003,0.004,0.0016100188705549965,0.3157894736842105,0.0
G-做空,negative,True,10,30,0.002,50-70%,距HedgeWall,far,17,0.0025839213362779017,-0.0003931099631702464,6.573024289284848,0.7058823529411765,0.29411764705882354,0.0025839213362779017,0.0025839028476207725,0.003,0.0035,0.0014612985420409202,0.35294117647058826,0.058823529411764705
G-做多,negative,False,15,15,0.002,<30%,距Support,near,13,0.0016951689951927422,-0.0002589865296713804,6.545394454853259,0.38461538461538464,0.0,0.0016951689951927422,0.0005696998271256357,0.002,0.002,0.0014739403553587953,0.38461538461538464,0.0
G+做多,positive,False,10,30,0.002,>100%,距Support,near,15,0.004025377763965691,-0.000627115415610581,6.41887866852459,1.0,0.13333333333333333,0.004025377763965691,0.001180728226875808,0.003,0.002,0.003,1.0,0.0
G-做多,negative,False,10,30,0.002,30-50%,距HedgeWall,near,14,0.0030882936427199083,-0.00048441622530701284,6.375289433715009,0.7142857142857143,0.21428571428571427,0.0030882936427199083,0.0016443335849696942,0.003,0.0025,0.0017305151701296419,0.42857142857142855,0.14285714285714285
G-做多,negative,False,15,30,0.002,30-50%,距HedgeWall,near,31,0.00272811762886477,-0.00043863285224401467,6.219592570205157,0.6774193548387096,0.22580645161290322,0.00272811762886477,0.001478033460257139,0.0025,0.002,0.0011832564856074982,0.6129032258064516,0.22580645161290322
G-做多,negative,False,30,30,0.002,<30%,距Support,near,23,0.002046381625217191,-0.0003309962079019691,6.182492658113069,0.5217391304347826,0.0,0.002046381625217191,0.0005321860781548446,0.0025,0.002,0.0014902895715327939,0.30434782608695654,0.0
G-做多,negative,False,30,30,0.002,<30%,距Support,far,17,0.0035789668271292187,-0.0005818656386539043,6.15084753141438,0.5882352941176471,0.0,0.0035789668271292187,0.000895527815912189,0.003,0.002,0.0019060126624487503,0.5882352941176471,0.0
G-做空,negative,True,10,30,0.002,>100%,距HedgeWall,near,10,0.006395868607724214,-0.0010411343179901175,6.143173361215554,1.0,0.1,0.006395868607724214,0.001614524532542959,0.003,0.002,0.003,1.0,0.0
G+做多,positive,False,15,30,0.002,>100%,距Support,near,23,0.0037320335795620746,-0.000627115415610581,5.951111209614324,0.9130434782608695,0.08695652173913043,0.0037320335795620746,0.0010251201684561484,0.003,0.002,0.0027528266548952863,0.8260869565217391,0.0
G+做多,positive,False,10,15,0.001,70-100%,距HedgeWall,medium,29,0.0013993301950865945,-0.00023943807970651577,5.8442257672705304,0.20689655172413793,0.034482758620689655,0.0013993301950865945,0.00042752311845905335,0.003,0.003,0.0010505678532212776,0.10344827586206896,0.0
G-做空,negative,True,15,15,0.002,>100%,距HedgeWall,near,16,0.00488440973862697,-0.0008508564319844715,5.740580378801335,0.9375,0.0625,0.00488440973862697,0.0015871776748683877,0.003,0.002,0.0027085990770948564,0.6875,0.0
G+做多,positive,False,15,30,0.002,>100%,距HedgeWall,near,11,0.0035341177160104747,-0.000627115415610581,5.635514018690701,0.8181818181818182,0.0,0.0035341177160104747,0.0008623671808288792,0.003,0.002,0.0024831830056901445,0.6363636363636364,0.0
G-做多,negative,False,15,30,0.002,50-70%,距Support,medium,13,0.001686633577370555,-0.0003132743704448024,5.383886255922531,0.38461538461538464,0.07692307692307693,0.001686633577370555,0.0011969209320261199,0.0025,0.002,0.0007686895156417738,0.23076923076923078,0.07692307692307693
G+做空,positive,True,10,15,0.002,30-50%,距Support,medium,14,0.0017288553852836288,-0.00032720029578274805,5.283783075891658,0.42857142857142855,0.0,0.0017288553852836288,0.0008066835800106055,0.003,0.002,0.0010731149442387198,0.21428571428571427,0.0
G-做空,negative,True,15,30,0.001,50-70%,距HedgeWall,medium,30,0.0017513717292012986,-0.00033540936275166947,5.221594635382853,0.36666666666666664,0.0,0.0017513717292012986,0.0006041008008026609,0.0015,0.002,0.0009499652332340337,0.5666666666666667,0.0
G+做多,positive,False,10,30,0.001,>100%,距Support,near,38,0.0028048340997848466,-0.0005391008576250165,5.202800292586088,0.5789473684210527,0.05263157894736842,0.0028048340997848466,0.000996523884642948,0.003,0.002,0.001794884167261468,0.47368421052631576,0.0
G-做空,negative,True,10,30,0.001,50-70%,距HedgeWall,medium,25,0.001703349570028253,-0.0003277855380419612,5.1965366751787565,0.32,0.08,0.001703349570028253,0.0006500358410172777,0.003,0.004,0.001133436860697343,0.16,0.0
G-做多,negative,False,30,15,0.002,30-50%,距HedgeWall,near,31,0.0017715097433035117,-0.0003418854683680585,5.181588301367591,0.3225806451612903,0.03225806451612903,0.0017715097433035117,0.0007181602995064498,0.0015,0.002,0.0009296252338379332,0.7096774193548387,0.0
G+做空,positive,True,30,15,0.002,50-70%,距HedgeWall,medium,27,0.001022821709390663,-0.00019880192603978852,5.14492857169781,0.1111111111111111,0.0,0.001022821709390663,0.0003211419209136712,0.0025,0.002,0.0003890105911457639,0.1111111111111111,0.0
G+做多,positive,False,15,30,0.001,>100%,距HedgeWall,far,15,0.003944523315496363,-0.0007691310421579582,5.128545201386199,0.8,0.13333333333333333,0.003944523315496363,0.001180728226875808,0.003,0.002,0.0025686767389915097,0.8,0.0
G+做空,positive,True,15,15,0.002,50-70%,距Support,near,41,0.0017569597568367695,-0.0003426790824913615,5.12712869447192,0.36585365853658536,0.0,0.0017569597568367695,0.0007786272627039839,0.002,0.002,0.0008404682770818826,0.24390243902439024,0.0
G+做多,positive,False,30,30,0.001,>100%,距Support,near,62,0.0023283610435389343,-0.000454653804675124,5.121173560183183,0.532258064516129,0.08064516129032258,0.0023283610435389343,0.000996523884642948,0.003,0.002,0.0014721318469883573,0.3387096774193548,0.04838709677419355
G-做多,negative,False,10,30,0.001,<30%,距Support,far,24,0.003559628283554415,-0.0006959676494011926,5.114646185950027,0.5833333333333334,0.16666666666666666,0.003559628283554415,0.0012272249295211593,0.003,0.002,0.001311635902954289,0.5416666666666666,0.16666666666666666
G+做多,positive,False,15,30,0.001,>100%,距Support,near,57,0.0021791771175932594,-0.00043216568843686387,5.042457501601543,0.5087719298245614,0.03508771929824561,0.0021791771175932594,0.0007472069226260845,0.003,0.002,0.0017063523462584793,0.3684210526315789,0.0
G+做空,positive,True,10,30,0.002,30-50%,距Support,medium,14,0.0028402267023341643,-0.0005646912772816976,5.029698202540696,0.8571428571428571,0.0,0.0028402267023341643,0.0008195658518747685,0.003,0.002,0.0018089620553132708,0.2857142857142857,0.0
G+做多,positive,False,30,15,0.002,>100%,距HedgeWall,near,25,0.0016162176924351054,-0.0003252692423614384,4.96886112164017,0.32,0.0,0.0016162176924351054,0.0007472069226260845,0.0025,0.002,0.0010202038914600066,0.12,0.0
G+做多,positive,False,30,30,0.002,>100%,距HedgeWall,near,25,0.0016162176924351054,-0.0003252692423614384,4.96886112164017,0.44,0.0,0.0016162176924351054,0.0007472069226260845,0.003,0.002,0.001242951122182009,0.32,0.0
G+做多,positive,False,10,15,0.002,70-100%,距HedgeWall,medium,10,0.001727605770255399,-0.0003485003446449458,4.957256992142989,0.4,0.0,0.001727605770255399,0.000835966569806961,0.003,0.002,0.0015374158927449978,0.2,0.0
