signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,15,15,0.0005,70-100%,★★★推荐,距HedgeWall,medium,71,0.0010871266934229993,-0.0002958571084501818,3.674499149666557,0.11267605633802817,0.014084507042253521,0.0010871266934229993,0.0008573583686974643,0.003,0.003,0.0006039923395440424,0.056338028169014086,0.0
G+做多,positive,False,15,15,0.0005,70-100%,★★★推荐,距HedgeWall,far,124,0.0008489263482402651,-0.00028597965009717125,2.9684851630240603,0.2903225806451613,0.07258064516129033,0.0008489263482402651,0.0008590847177406531,0.003,0.004,0.0007095106569733972,0.12096774193548387,0.0
G+做多,positive,False,15,15,0.0005,>100%,★★★推荐,距Support,near,70,0.0015697381388247058,-0.0003706738720422077,4.234822730224599,0.34285714285714286,0.02857142857142857,0.0015697381388247058,0.0007041337317037635,0.003,0.002,0.0012430279113317094,0.17142857142857143,0.02857142857142857
G+做多,positive,False,15,15,0.0005,>100%,★★★推荐,距Support,medium,112,0.0005517734306867017,-0.0005482540777904798,1.0064192005837973,0.08035714285714286,0.008928571428571428,0.0005517734306867017,0.0009761380872596412,0.003,0.002,0.00015918194406418814,0.07142857142857142,0.008928571428571428
G+做多,positive,False,15,15,0.0005,>100%,★★★推荐,距Support,far,43,0.00042373634709632035,-0.0006181605794401813,0.6854794064675955,0.046511627906976744,0.023255813953488372,0.00042373634709632035,0.0010347310691132929,0.003,0.002,-0.00011998364269953107,0.046511627906976744,0.023255813953488372
G+做多,positive,False,15,15,0.0005,>100%,★★★推荐,距HedgeWall,near,58,0.0014245939813069671,-0.0003591697713455339,3.9663526692964868,0.20689655172413793,0.034482758620689655,0.0014245939813069671,0.0006942627632633425,0.0025,0.002,0.0008841236328936646,0.05172413793103448,0.034482758620689655
G+做多,positive,False,15,15,0.0005,>100%,★★★推荐,距HedgeWall,medium,112,0.0005517734306867017,-0.0005482540777904798,1.0064192005837973,0.08035714285714286,0.008928571428571428,0.0005517734306867017,0.0009761380872596412,0.003,0.002,0.00015918194406418814,0.07142857142857142,0.008928571428571428
G+做多,positive,False,15,15,0.0005,>100%,★★★推荐,距HedgeWall,far,55,0.0005452958600486752,-0.0005816921305364734,0.9374303543452938,0.2545454545454545,0.01818181818181818,0.0005452958600486752,0.001011421933056839,0.003,0.002,0.0005607400611621848,0.2545454545454545,0.01818181818181818
G+做多,positive,False,15,15,0.001,<30%,★☆☆观望,距Support,near,228,0.0010285149283598748,-0.0005385713762315422,1.909709601643769,0.13596491228070176,0.08771929824561403,0.0010285149283598748,0.0011588237388904022,0.003,0.0035,0.0004605796888195916,0.03508771929824561,0.0043859649122807015
G+做多,positive,False,15,15,0.001,<30%,★☆☆观望,距Support,medium,216,0.0007422912194082045,-0.0007835966802119,0.9472873458415806,0.11574074074074074,0.2638888888888889,0.0007422912194082045,0.002055422595695345,0.003,0.002,2.9242195650970863e-05,0.041666666666666664,0.2222222222222222
G+做多,positive,False,15,15,0.001,<30%,★☆☆观望,距Support,far,15,0.0001246870138474603,-0.0010437671877287506,0.11945864490986795,0.06666666666666667,0.3333333333333333,0.0001246870138474603,0.002299711135183574,0.0025,0.002,-0.001038610611269465,0.0,0.3333333333333333
G+做多,positive,False,15,15,0.001,<30%,★☆☆观望,距HedgeWall,near,168,0.0009987074509443996,-0.000561071235082457,1.780001162949703,0.1130952380952381,0.09523809523809523,0.0009987074509443996,0.0011588237388904022,0.003,0.0035,0.0004036169588448997,0.041666666666666664,0.005952380952380952
G+做多,positive,False,15,15,0.001,<30%,★☆☆观望,距HedgeWall,medium,174,0.0007283205829351712,-0.0010266230941165769,0.7094332741091325,0.15517241379310345,0.3045977011494253,0.0007283205829351712,0.0024083660519059495,0.003,0.002,-5.2350860422050664e-05,0.05747126436781609,0.27011494252873564
G+做多,positive,False,15,15,0.001,<30%,★☆☆观望,距HedgeWall,far,117,0.0008788821553343222,-0.0005107705650636161,1.7206985199408624,0.09401709401709402,0.1111111111111111,0.0008788821553343222,0.0010437671877287506,0.003,0.002,0.0003003422096440472,0.0,0.06837606837606838
G+做多,positive,False,15,15,0.001,30-50%,★☆☆观望,距Support,near,64,0.0008533334015565961,-0.001021551212883179,0.8353310052348597,0.046875,0.1875,0.0008533334015565961,0.0016599353047879128,0.0015,0.0025,0.0001762972517191205,0.1875,0.0625
G+做多,positive,False,15,15,0.001,30-50%,★☆☆观望,距Support,medium,82,0.0004946437347124206,-0.0011043629487576911,0.44789961060252,0.036585365853658534,0.15853658536585366,0.0004946437347124206,0.0017250856467962796,0.0025,0.0025,-0.00032839865202469664,0.024390243902439025,0.08536585365853659
G+做多,positive,False,15,15,0.001,30-50%,★☆☆观望,距Support,far,25,0.0007898475903030839,-0.0006206995961039106,1.2725118483416191,0.28,0.24,0.0007898475903030839,0.0012262478875561494,0.003,0.002,0.0006288411317349796,0.28,0.24
G+做多,positive,False,15,15,0.001,30-50%,★☆☆观望,距HedgeWall,near,41,0.00047904085046800117,-0.0013504378806069354,0.3547300156099761,0.04878048780487805,0.24390243902439024,0.00047904085046800117,0.0019324563292707079,0.0015,0.0025,-0.00021698306659062095,0.12195121951219512,0.0975609756097561
G+做多,positive,False,15,15,0.001,30-50%,★☆☆观望,距HedgeWall,medium,58,0.0010695426355534616,-0.0006611268068581641,1.6177571752629258,0.034482758620689655,0.15517241379310345,0.0010695426355534616,0.0013674184672660293,0.0015,0.0025,0.00017860078881515805,0.1896551724137931,0.06896551724137931
G+做多,positive,False,15,15,0.001,30-50%,★☆☆观望,距HedgeWall,far,72,0.000551702273159034,-0.000998306844724899,0.5526379750617308,0.125,0.16666666666666666,0.000551702273159034,0.0017389321445378865,0.003,0.002,-2.820863963394675e-05,0.09722222222222222,0.16666666666666666
G+做多,positive,False,15,15,0.001,50-70%,★★☆可选,距Support,near,123,0.000582033757957978,-0.0011332627529338627,0.5135911830254475,0.13008130081300814,0.2032520325203252,0.000582033757957978,0.001776770741101461,0.002,0.002,-0.00032242169722551456,0.12195121951219512,0.17073170731707318
G+做多,positive,False,15,15,0.001,50-70%,★★☆可选,距Support,medium,43,0.0012931735975590555,-0.0008800750997418446,1.4693900531197697,0.18604651162790697,0.023255813953488372,0.0012931735975590555,0.0012815788676211468,0.001,0.002,0.00034366014022618887,0.5348837209302325,0.023255813953488372
G+做多,positive,False,15,15,0.001,50-70%,★★☆可选,距HedgeWall,near,72,0.00024279590632484088,-0.0016370494563305261,0.1483131162506672,0.1111111111111111,0.3472222222222222,0.00024279590632484088,0.0025786222367432344,0.002,0.002,-0.000877310938377681,0.1111111111111111,0.2916666666666667
G+做多,positive,False,15,15,0.001,50-70%,★★☆可选,距HedgeWall,medium,69,0.0009974216212342154,-0.0008027970678165793,1.2424330646186457,0.15942028985507245,0.014492753623188406,0.0009974216212342154,0.001223303484926766,0.003,0.002,0.0003165523995176995,0.07246376811594203,0.014492753623188406
G+做多,positive,False,15,15,0.001,50-70%,★★☆可选,距HedgeWall,far,29,0.0010541316389035432,-0.0007224174321559848,1.4591724839163827,0.1724137931034483,0.0,0.0010541316389035432,0.0008800750997418446,0.0015,0.002,0.0006250295118474965,0.27586206896551724,0.0
G+做多,positive,False,15,15,0.001,70-100%,★★★推荐,距Support,near,144,0.0010765631829405893,-0.000787583872719465,1.3669187755499634,0.1597222222222222,0.09722222222222222,0.0010765631829405893,0.0013817416391375223,0.003,0.004,0.0003826438602480149,0.05555555555555555,0.0
G+做多,positive,False,15,15,0.001,70-100%,★★★推荐,距Support,far,11,0.0023297535511954638,-5.638626371263618e-05,41.317750065311834,0.7272727272727273,0.0,0.0023297535511954638,0.00013284373948700516,0.002,0.002,0.0016069137460131672,0.7272727272727273,0.0
G+做多,positive,False,15,15,0.001,70-100%,★★★推荐,距HedgeWall,near,96,0.0009477457934542368,-0.0008962640802323623,1.0574403396915422,0.10416666666666667,0.10416666666666667,0.0009477457934542368,0.001428701963866694,0.003,0.004,9.139603328315007e-05,0.041666666666666664,0.0
G+做多,positive,False,15,15,0.001,70-100%,★★★推荐,距HedgeWall,medium,39,0.0011866209944234498,-0.0002694775708308382,4.4034128360476394,0.15384615384615385,0.0,0.0011866209944234498,0.0008636457180556363,0.003,0.002,0.0007714868451743885,0.05128205128205128,0.0
G+做多,positive,False,15,15,0.001,70-100%,★★★推荐,距HedgeWall,far,23,0.0023297535511954638,-0.00018537493905987704,12.567791326113081,0.6956521739130435,0.17391304347826086,0.0023297535511954638,0.0012150838989817177,0.002,0.004,0.0015441557042434996,0.6956521739130435,0.0
G+做多,positive,False,15,15,0.001,>100%,★★★推荐,距Support,near,57,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.42105263157894735,0.0,0.001632660370825762,0.0006951701372848352,0.003,0.002,0.001418567661302424,0.21052631578947367,0.0
G+做多,positive,False,15,15,0.001,>100%,★★★推荐,距Support,medium,26,0.0007401423731419809,-0.00037733221262460626,1.9615138818755475,0.07692307692307693,0.0,0.0007401423731419809,0.0006666264079666095,0.003,0.002,0.00022783313257398406,0.07692307692307693,0.0
G+做多,positive,False,15,15,0.001,>100%,★★★推荐,距HedgeWall,near,45,0.0015121668857887233,-0.0003252692423614384,4.648969803632423,0.26666666666666666,0.0,0.0015121668857887233,0.000691540641198864,0.0025,0.002,0.0010027905246411347,0.06666666666666667,0.0
G+做多,positive,False,15,15,0.001,>100%,★★★推荐,距HedgeWall,medium,26,0.0007401423731419809,-0.00037733221262460626,1.9615138818755475,0.07692307692307693,0.0,0.0007401423731419809,0.0006666264079666095,0.003,0.002,0.00022783313257398406,0.07692307692307693,0.0
G+做多,positive,False,15,15,0.001,>100%,★★★推荐,距HedgeWall,far,15,0.0038673510247170324,-0.00042399138971326803,9.121296136066347,0.8,0.0,0.0038673510247170324,0.0006867023198849661,0.003,0.002,0.0023630327509247,0.8,0.0
