signal,gamma,is_short,lb,hz,th,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做空,negative,True,5,30,0.0015,距Support,far,129,0.0019263971191405128,-0.002143173609077253,0.8988525759095766,0.4883720930232558,0.5426356589147286
G-做空,negative,True,5,30,0.002,距Support,near,61,0.001543690524068575,-0.00291144346859124,0.5302148369775904,0.3770491803278688,0.6229508196721312
G-做空,negative,True,5,30,0.002,距Support,medium,64,0.0016795343271329745,-0.0023179075027334154,0.7245907462452091,0.421875,0.59375
G-做空,negative,True,5,30,0.002,距Support,far,62,0.001860020791664509,-0.002386193932615117,0.7794927169335496,0.46774193548387094,0.6290322580645161
G-做空,negative,True,10,5,0.0005,距Support,near,618,0.0005956744624577264,-0.0005411583201531511,1.1007397286050171,0.07281553398058252,0.09061488673139159
G-做空,negative,True,10,5,0.0005,距Support,medium,819,0.000542186810392455,-0.0006086152195986098,0.890853190871623,0.05982905982905983,0.06227106227106227
G-做空,negative,True,10,5,0.0005,距Support,far,578,0.000634699846766458,-0.000568416873279354,1.1166097922193958,0.08304498269896193,0.08823529411764706
G-做空,negative,True,10,5,0.001,距Support,near,407,0.0006283675656629051,-0.0006022704402984464,1.043331240615971,0.07616707616707617,0.10073710073710074
G-做空,negative,True,10,5,0.001,距Support,medium,514,0.0005639558526687879,-0.0006697572101209999,0.8420302822375026,0.06420233463035019,0.06031128404669261
G-做空,negative,True,10,5,0.001,距Support,far,364,0.0007294729258170627,-0.0006184203372079883,1.179574606343719,0.10164835164835165,0.12362637362637363
G-做空,negative,True,10,5,0.0015,距Support,near,283,0.0006235446274470458,-0.0006506307088740466,0.9583695004592162,0.07773851590106007,0.1166077738515901
G-做空,negative,True,10,5,0.0015,距Support,medium,285,0.0005928404486569996,-0.0007770699483662875,0.7629177397779799,0.08070175438596491,0.08421052631578947
G-做空,negative,True,10,5,0.0015,距Support,far,217,0.0008307935633490714,-0.0006731852426877679,1.2341232556317405,0.1152073732718894,0.17511520737327188
G-做空,negative,True,10,5,0.002,距Support,near,173,0.0005350470737098354,-0.0008119269683631462,0.6589842369548289,0.12138728323699421,0.15028901734104047
G-做空,negative,True,10,5,0.002,距Support,medium,156,0.0006465376916419631,-0.0008250972506774134,0.7835896812298779,0.10897435897435898,0.08333333333333333
G-做空,negative,True,10,5,0.002,距Support,far,137,0.000910548446622429,-0.0008286795716875218,1.098794368453164,0.10218978102189781,0.24087591240875914
G-做空,negative,True,10,10,0.0005,距Support,near,618,0.0008801624389952425,-0.0008355024509587058,1.0534528510183196,0.1796116504854369,0.17313915857605178
G-做空,negative,True,10,10,0.0005,距Support,medium,819,0.0007941438484621262,-0.0008407018523661976,0.9446200769356798,0.15384615384615385,0.16727716727716727
G-做空,negative,True,10,10,0.0005,距Support,far,578,0.001028840268928226,-0.0008283533708028667,1.2420306419843998,0.2301038062283737,0.1643598615916955
G-做空,negative,True,10,10,0.001,距Support,near,407,0.0009066850005178858,-0.0009375014085058258,0.9671292141981368,0.1891891891891892,0.19656019656019655
G-做空,negative,True,10,10,0.001,距Support,medium,514,0.0007872026556151659,-0.0009009755994626964,0.8737225026788962,0.14980544747081712,0.1828793774319066
G-做空,negative,True,10,10,0.001,距Support,far,364,0.0011419392298358004,-0.0008639454766373939,1.3217723348473334,0.27472527472527475,0.18681318681318682
G-做空,negative,True,10,10,0.0015,距Support,near,283,0.0009066850005178858,-0.0009530451304687427,0.9513557873927174,0.19434628975265017,0.21201413427561838
G-做空,negative,True,10,10,0.0015,距Support,medium,285,0.0008550338444700872,-0.0009934148635936577,0.8607016824542165,0.16842105263157894,0.23508771929824562
G-做空,negative,True,10,10,0.0015,距Support,far,217,0.001197909050490858,-0.0011131669600012856,1.0761270263442553,0.3225806451612903,0.24423963133640553
G-做空,negative,True,10,10,0.002,距Support,near,173,0.0008866727080637076,-0.0009935190384761582,0.8924566855041554,0.21965317919075145,0.2543352601156069
G-做空,negative,True,10,10,0.002,距Support,medium,156,0.0008845185994579535,-0.0011663224736845734,0.7583825394906757,0.19230769230769232,0.24358974358974358
G-做空,negative,True,10,10,0.002,距Support,far,137,0.0014355829715197832,-0.0012407936358056534,1.156987697303631,0.3357664233576642,0.3357664233576642
G-做空,negative,True,10,15,0.0005,距Support,near,618,0.0010877290624106003,-0.000988875735572488,1.0999653680256227,0.2540453074433657,0.24271844660194175
G-做空,negative,True,10,15,0.0005,距Support,medium,819,0.0010407585168738082,-0.0010281777919618365,1.0122359430541354,0.23809523809523808,0.23321123321123322
G-做空,negative,True,10,15,0.0005,距Support,far,578,0.001257114478288684,-0.0009469120223988498,1.327593745302743,0.3217993079584775,0.21626297577854672
G-做空,negative,True,10,15,0.001,距Support,near,407,0.001085677685462378,-0.0010672532365453614,1.0172634275410168,0.25552825552825553,0.25552825552825553
G-做空,negative,True,10,15,0.001,距Support,medium,514,0.0010353777492568953,-0.0011055517034910091,0.9365258503853552,0.22178988326848248,0.24708171206225682
G-做空,negative,True,10,15,0.001,距Support,far,364,0.0014007364076538034,-0.0009478286468735072,1.4778371726516715,0.3708791208791209,0.23901098901098902
G-做空,negative,True,10,15,0.0015,距Support,near,283,0.001126168399714704,-0.0010594498907024082,1.0629746716648032,0.254416961130742,0.26148409893992935
G-做空,negative,True,10,15,0.0015,距Support,medium,285,0.0010815500811914799,-0.0012656203802593885,0.8545612081324232,0.22456140350877193,0.28421052631578947
G-做空,negative,True,10,15,0.0015,距Support,far,217,0.0014929970246268865,-0.0012014781822484743,1.2426334882193675,0.4055299539170507,0.2903225806451613
G-做空,negative,True,10,15,0.002,距Support,near,173,0.0010452719219691431,-0.001160665148104739,0.900580088646564,0.2832369942196532,0.31213872832369943
G-做空,negative,True,10,15,0.002,距Support,medium,156,0.0011375100677195578,-0.001406710698712862,0.8086311341488891,0.23076923076923078,0.3141025641025641
G-做空,negative,True,10,15,0.002,距Support,far,137,0.001793644464188505,-0.0014075123212480985,1.2743365987716593,0.43795620437956206,0.35036496350364965
G-做空,negative,True,10,30,0.0005,距Support,near,618,0.0015404950400893232,-0.001856757178432021,0.8296696293859102,0.40938511326860844,0.48058252427184467
G-做空,negative,True,10,30,0.0005,距Support,medium,819,0.001566037337706293,-0.0015076920350741495,1.0386984220084934,0.398046398046398,0.3907203907203907
G-做空,negative,True,10,30,0.0005,距Support,far,578,0.0019287516539402878,-0.0013630863524319815,1.4149886032525099,0.4826989619377163,0.35813148788927335
G-做空,negative,True,10,30,0.001,距Support,near,407,0.0015059489519593267,-0.0020664296803067747,0.7287685452406776,0.40540540540540543,0.515970515970516
G-做空,negative,True,10,30,0.001,距Support,medium,514,0.0015622914981871534,-0.0016440161369707445,0.9502896370991974,0.3968871595330739,0.4143968871595331
G-做空,negative,True,10,30,0.001,距Support,far,364,0.0020225802916270727,-0.001406324668433447,1.4382029534332876,0.5082417582417582,0.38186813186813184
G-做空,negative,True,10,30,0.0015,距Support,near,283,0.0015904861112160304,-0.0020664296803067747,0.7696783134570118,0.4169611307420495,0.5159010600706714
G-做空,negative,True,10,30,0.0015,距Support,medium,285,0.0016746636841703639,-0.0017485600533235818,0.9577387296405638,0.43157894736842106,0.44912280701754387
G-做空,negative,True,10,30,0.0015,距Support,far,217,0.0021795686238920433,-0.001793925803592419,1.2149714439289276,0.5299539170506913,0.45161290322580644
G-做空,negative,True,10,30,0.002,距Support,near,173,0.001600215175298244,-0.0025349456067951122,0.6312621347806229,0.4161849710982659,0.5838150289017341
G-做空,negative,True,10,30,0.002,距Support,medium,156,0.0016516422713573255,-0.00205464171202639,0.8038590191612501,0.4358974358974359,0.5064102564102564
G-做空,negative,True,10,30,0.002,距Support,far,137,0.0023910849491385854,-0.002174857991087671,1.099421184710445,0.5620437956204379,0.5328467153284672
G-做空,negative,True,15,5,0.0005,距Support,near,713,0.0005996970419387054,-0.0005128127552717481,1.1694269219589046,0.06872370266479663,0.07713884992987377
G-做空,negative,True,15,5,0.0005,距Support,medium,912,0.0005372710781176415,-0.0006162323363830294,0.87186446798808,0.06140350877192982,0.04824561403508772
