date,strategy_name,direction,gamma_env,entry_time,entry_price,exit_time,exit_price,exit_reason,take_profit,stop_loss,pnl_pct,pnl_points,move_ratio,mr_grade
2025-10-07,G+做多_relaxed,LONG,positive,2025-10-07 11:45:00,6702.83,2025-10-07 12:30:00,6712.88,take_profit,0.15%,0.20%,0.15,10.05,53.5,★★☆可选
2025-10-07,G+做多_relaxed,LONG,positive,2025-10-07 12:10:00,6702.87,2025-10-07 12:30:00,6712.92,take_profit,0.15%,0.20%,0.15,10.05,53.5,★★☆可选
2025-10-13,G-做多_relaxed,LONG,negative,2025-10-13 12:55:00,6665.41,2025-10-13 13:35:00,6652.08,stop_loss,0.15%,0.20%,-0.2,-13.33,53.0,★★☆可选
2025-10-14,G-做多_relaxed,LONG,negative,2025-10-14 11:50:00,6650.14,2025-10-14 12:20:00,6660.12,take_profit,0.15%,0.20%,0.15,9.98,54.8,★★☆可选
2025-10-14,G-做多_relaxed,LONG,negative,2025-10-14 12:15:00,6651.04,2025-10-14 12:20:00,6661.02,take_profit,0.15%,0.20%,0.15,9.98,55.8,★★☆可选
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 12:35:00,6663.41,2025-10-14 12:50:00,6676.74,take_profit,0.20%,0.20%,0.2,13.33,70.0,★★★推荐
2025-10-14,G-做多_relaxed,LONG,negative,2025-10-14 12:40:00,6668.9,2025-10-14 13:50:00,6678.9,take_profit,0.15%,0.20%,0.15,10.0,76.3,★★★推荐
2025-10-14,G+做空_relaxed,SHORT,positive,2025-10-14 12:45:00,6673.59,2025-10-14 13:00:00,6663.58,take_profit,0.15%,0.20%,0.15,10.01,81.7,★★★推荐
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 13:00:00,6667.91,2025-10-14 14:15:00,6673.69,timeout,0.20%,0.20%,0.0867,5.78,75.2,★★★推荐
2025-10-14,G+做空_relaxed,SHORT,positive,2025-10-14 13:10:00,6672.04,2025-10-14 14:25:00,6674.16,timeout,0.15%,0.20%,-0.0318,-2.12,79.9,★★★推荐
2025-10-14,G-做多_relaxed,LONG,negative,2025-10-14 13:15:00,6669.52,2025-10-14 13:50:00,6679.52,take_profit,0.15%,0.20%,0.15,10.0,77.0,★★★推荐
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 13:30:00,6669.19,2025-10-14 14:45:00,6672.39,timeout,0.20%,0.20%,0.048,3.2,76.7,★★★推荐
2025-10-14,G+做空_relaxed,SHORT,positive,2025-10-14 13:40:00,6675.63,2025-10-14 14:55:00,6671.61,timeout,0.15%,0.20%,0.0602,4.02,84.1,★★★推荐
2025-10-14,G+做空_relaxed,SHORT,positive,2025-10-14 14:10:00,6673.73,2025-10-14 15:25:00,6670.94,timeout,0.15%,0.20%,0.0418,2.79,81.9,★★★推荐
2025-10-14,G-做多_optimal,LONG,negative,2025-10-14 14:35:00,6668.92,2025-10-14 15:35:00,6655.58,stop_loss,0.20%,0.20%,-0.2,-13.34,76.4,★★★推荐
2025-10-14,G-做空_relaxed,SHORT,negative,2025-10-14 15:30:00,6665.79,2025-10-14 15:35:00,6655.79,take_profit,0.15%,0.20%,0.15,10.0,72.8,★★★推荐
2025-10-15,G-做空_relaxed,SHORT,negative,2025-10-15 13:05:00,6639.74,2025-10-15 13:10:00,6629.78,take_profit,0.15%,0.20%,0.15,9.96,55.8,★★☆可选
2025-10-15,G-做空_relaxed,SHORT,negative,2025-10-15 13:30:00,6639.66,2025-10-15 13:45:00,6652.94,stop_loss,0.15%,0.20%,-0.2,-13.28,55.9,★★☆可选
