signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做空,negative,True,10,15,0.001,<30%,距Support,near,79,0.0010452719219691431,-0.0009232563654723761,1.1321578285943783,0.17721518987341772,0.24050632911392406
G-做空,negative,True,10,15,0.001,<30%,距Support,medium,150,0.0007429658718613528,-0.0013453299498821592,0.5522555057414956,0.14666666666666667,0.3466666666666667
G-做空,negative,True,10,15,0.001,<30%,距Support,far,27,0.0008139426418682247,-0.0009471747131412631,0.8593373857805175,0.18518518518518517,0.14814814814814814
G-做空,negative,True,10,15,0.001,<30%,距HedgeWall,near,21,0.0010419540600986562,-0.002183033631701398,0.4772963847041537,0.0,0.5238095238095238
G-做空,negative,True,10,15,0.001,<30%,距HedgeWall,medium,49,0.0008669287121342126,-0.0014075123212480985,0.6159297499900189,0.20408163265306123,0.3877551020408163
G-做空,negative,True,10,15,0.001,<30%,距HedgeWall,far,367,0.0011682802488335508,-0.0011852566816759663,0.9856769988266081,0.26430517711171664,0.2970027247956403
G-做空,negative,True,10,15,0.001,30-50%,距Support,near,35,0.0008125443532706637,-0.0012735031925813077,0.6380387249942338,0.22857142857142856,0.34285714285714286
G-做空,negative,True,10,15,0.001,30-50%,距Support,medium,124,0.0010556667931221082,-0.0009962839600701754,1.0596043251040095,0.21774193548387097,0.16129032258064516
G-做空,negative,True,10,15,0.001,30-50%,距Support,far,10,0.0009035432153671776,-0.001698838103566832,0.531859518261407,0.0,0.4
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,near,46,0.0008995188230780099,-0.0015865932681151072,0.5669498548589265,0.13043478260869565,0.2391304347826087
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,medium,44,0.0015790457281479034,-0.0005581493330950454,2.829073931508242,0.4090909090909091,0.0
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,far,79,0.0008283401598799383,-0.001335618959479263,0.6201919746653606,0.13924050632911392,0.31645569620253167
G-做空,negative,True,10,15,0.001,50-70%,距Support,near,55,0.0016262838590952791,-0.0008361426740582127,1.9449836846648692,0.34545454545454546,0.2545454545454545
G-做空,negative,True,10,15,0.001,50-70%,距Support,medium,11,0.0016432246327197433,-0.0006337107399872125,2.5930200153352327,0.45454545454545453,0.18181818181818182
G-做空,negative,True,10,15,0.001,50-70%,距Support,far,29,0.0009499327763225931,-0.0006911639200414043,1.374395781923465,0.06896551724137931,0.2413793103448276
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,near,24,0.0010199591189813185,-0.0011477197898312908,0.8886830461738814,0.125,0.125
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,medium,25,0.0016233961447348125,-0.00023153264084024754,7.011521739843672,0.28,0.04
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,far,46,0.0016451758528438184,-0.0012282156918926078,1.3394844763045648,0.34782608695652173,0.41304347826086957
G-做空,negative,True,10,15,0.001,70-100%,距Support,near,143,0.0010217696161255439,-0.000968466723483381,1.0550384348265918,0.24475524475524477,0.2867132867132867
G-做空,negative,True,10,15,0.001,70-100%,距Support,far,28,0.0016043897922829922,-0.00039154848614681435,4.097550747984282,0.42857142857142855,0.21428571428571427
G-做空,negative,True,10,15,0.001,70-100%,距HedgeWall,near,31,0.0008536658579048913,-0.0007190483373288386,1.187216232327492,0.3225806451612903,0.0967741935483871
G-做空,negative,True,10,15,0.001,70-100%,距HedgeWall,medium,36,0.0011463980469886715,-0.0004839608755340365,2.3687824883027067,0.2777777777777778,0.1388888888888889
G-做空,negative,True,10,15,0.001,70-100%,距HedgeWall,far,105,0.0010676469606942076,-0.001175375512466731,0.9083454175879195,0.26666666666666666,0.37142857142857144
G-做空,negative,True,10,15,0.001,>100%,距Support,near,95,0.0011718767606320431,-0.0012477009121279832,0.9392289043320324,0.29473684210526313,0.18947368421052632
G-做空,negative,True,10,15,0.001,>100%,距Support,medium,228,0.0011270103758975226,-0.0010856156135337553,1.0381302201697564,0.25877192982456143,0.2324561403508772
G-做空,negative,True,10,15,0.001,>100%,距Support,far,270,0.001706749457397248,-0.0010538218602600883,1.6195806158130122,0.42962962962962964,0.24444444444444444
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,near,23,0.0029421248975655843,-0.0011895327091643786,2.473345100053923,0.6521739130434783,0.08695652173913043
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,medium,121,0.0012054615644944671,-0.0008551365751780545,1.4096713899103996,0.32231404958677684,0.2231404958677686
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,far,449,0.0013210903175786357,-0.0011866410388296949,1.1133024009362926,0.33184855233853006,0.24053452115812918
