signal,n_samples,mfe_p50,mae_p10,mae_p25,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G- 跌后做空,1830,0.0012347317932167004,-0.0034304824967390864,-0.0020456081779312773,0.0012347317932167004,0.0020456081779312773,0.003,0.002,0.00018259910998770257,0.11038251366120219,0.21584699453551912
G- 涨后做多,1363,0.0010759084908360903,-0.002848807152819064,-0.0017341698088717645,0.0010759084908360903,0.0017341698088717645,0.003,0.002,0.00020565705422466896,0.0946441672780631,0.18048422597212033
G+ 涨后做空,1340,0.0006123873189479142,-0.0016119428188214415,-0.001095147673905096,0.0006123873189479142,0.001095147673905096,0.002,0.003,-8.789996179243425e-06,0.07014925373134329,0.006716417910447761
G+ 跌后做多,1044,0.0008766008990737162,-0.00246674950939697,-0.0013940150237235411,0.0008766008990737162,0.0013940150237235411,0.003,0.002,0.00018813405328895524,0.05076628352490421,0.12260536398467432
