signal,gamma,is_short,lb,hz,th,move_ratio,mr_grade,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02,recommended_tp,recommended_sl,best_tp,best_sl,best_expected,best_p_tp,best_p_sl
G+做多,positive,False,10,30,0.001,>100%,★★★推荐,距HedgeWall,far,17,0.004334790409822772,-0.00045507119968143424,9.5255213093188,0.8823529411764706,0.11764705882352941,0.004334790409822772,0.001013287922482851,0.003,0.002,0.0024664338437886987,0.8235294117647058,0.0
G+做多,positive,False,30,30,0.002,>100%,★★★推荐,距HedgeWall,far,12,0.00423978634560866,-0.000454653804675124,9.325307084229129,1.0,0.08333333333333333,0.00423978634560866,0.0010970080746793296,0.003,0.002,0.002782753856948619,0.9166666666666666,0.0
G+做多,positive,False,10,15,0.0015,>100%,★★★推荐,距HedgeWall,far,11,0.004201870378488807,-0.00045507119968143424,9.23343507879704,1.0,0.0,0.004201870378488807,0.0008912094823204045,0.003,0.002,0.002884755918258014,0.9090909090909091,0.0
G+做多,positive,False,15,15,0.0015,>100%,★★★推荐,距HedgeWall,far,12,0.004165418208288363,-0.000454653804675124,9.161736172569348,1.0,0.0,0.004165418208288363,0.0008301702622391814,0.003,0.002,0.003,1.0,0.0
G+做多,positive,False,15,15,0.002,>100%,★★★推荐,距HedgeWall,far,12,0.004165418208288363,-0.000454653804675124,9.161736172569348,1.0,0.0,0.004165418208288363,0.0008301702622391814,0.003,0.002,0.003,1.0,0.0
G+做多,positive,False,15,15,0.001,>100%,★★★推荐,距HedgeWall,far,15,0.0038673510247170324,-0.00042399138971326803,9.121296136066347,0.8,0.0,0.0038673510247170324,0.0006867023198849661,0.003,0.002,0.0023630327509247,0.8,0.0
G+做多,positive,False,10,15,0.0015,>100%,★★★推荐,距Support,near,20,0.003394687824825392,-0.0003756031361428401,9.037964538012824,0.9,0.0,0.003394687824825392,0.0008134062243992782,0.003,0.002,0.002387960227194102,0.5,0.0
G-做多,negative,False,30,15,0.0015,<30%,★☆☆观望,距Support,near,25,0.0016951689951927422,-0.00019215551584670637,8.82185966779677,0.32,0.0,0.0016951689951927422,0.0005611290339657055,0.002,0.002,0.0013049678871069198,0.32,0.0
G-做多,negative,False,15,15,0.001,<30%,★☆☆观望,距Support,near,31,0.0016951689951927422,-0.00019215551584670637,8.82185966779677,0.3548387096774194,0.16129032258064516,0.0016951689951927422,0.0005755480281130265,0.003,0.002,0.0009500412221639781,0.06451612903225806,0.16129032258064516
G+做多,positive,False,15,15,0.0015,>100%,★★★推荐,距HedgeWall,near,21,0.001839732359954827,-0.00021040473813561323,8.74377818796578,0.47619047619047616,0.0,0.001839732359954827,0.000627115415610581,0.0025,0.002,0.0015438501281327744,0.14285714285714285,0.0
G+做空,positive,True,15,15,0.002,30-50%,★☆☆观望,距HedgeWall,medium,22,0.0019925017846948497,-0.0002283747626384288,8.724702159184949,0.5,0.0,0.0019925017846948497,0.0005396693826753207,0.002,0.002,0.0009342798131305978,0.3181818181818182,0.0
G+做多,positive,False,30,15,0.001,70-100%,★★★推荐,距HedgeWall,far,51,0.0023297535511954638,-0.0002721444839805702,8.560723028881222,0.6078431372549019,0.09803921568627451,0.0023297535511954638,0.0011691395200246822,0.003,0.004,0.0015683571491162806,0.27450980392156865,0.0
G-做多,negative,False,15,30,0.002,<30%,★☆☆观望,距Support,near,13,0.002181285718175476,-0.0002589865296713804,8.422390619864434,0.5384615384615384,0.0,0.002181285718175476,0.0005696998271256357,0.0025,0.002,0.0014291343427824384,0.38461538461538464,0.0
G+做多,positive,False,10,15,0.002,>100%,★★★推荐,距Support,near,15,0.0037320335795620746,-0.00045507119968143424,8.200988289688798,1.0,0.0,0.0037320335795620746,0.0007303358416784111,0.003,0.002,0.0027041710661976377,0.6,0.0
G-做空,negative,True,10,15,0.0015,50-70%,★★☆可选,距HedgeWall,medium,11,0.0022621411967974803,-0.0002760880988216786,8.193548387098588,0.5454545454545454,0.0,0.0022621411967974803,0.00047863129378632234,0.003,0.002,0.0014831103621753355,0.18181818181818182,0.0
G-做多,negative,False,30,15,0.001,<30%,★☆☆观望,距Support,near,27,0.0016951689951927422,-0.00020704027613428465,8.18762912629265,0.3333333333333333,0.037037037037037035,0.0016951689951927422,0.0005755480281130265,0.002,0.002,0.0012083035991730738,0.3333333333333333,0.037037037037037035
G+做多,positive,False,30,15,0.0015,>100%,★★★推荐,距HedgeWall,far,18,0.0036245904736542708,-0.000443568100389925,8.171440801238912,0.7222222222222222,0.0,0.0036245904736542708,0.0006146888339831295,0.003,0.002,0.0020651093705868423,0.6666666666666666,0.0
G+做多,positive,False,30,15,0.002,>100%,★★★推荐,距Support,near,37,0.002640161515763381,-0.0003252692423614384,8.116849587732121,0.5405405405405406,0.0,0.002640161515763381,0.0007691310421579582,0.003,0.002,0.001620816093857444,0.2972972972972973,0.0
G+做空,positive,True,10,15,0.0015,50-70%,★★☆可选,距HedgeWall,medium,16,0.0011214223220470585,-0.00014353098387924056,7.813102730422056,0.3125,0.0,0.0011214223220470585,0.0004949482003633176,0.0025,0.002,0.0005575843791272054,0.1875,0.0
G-做空,negative,True,15,15,0.002,70-100%,★★★推荐,距HedgeWall,near,15,0.003631339925642593,-0.0004692477297134281,7.7386414375627774,0.6666666666666666,0.06666666666666667,0.003631339925642593,0.0008810848080115636,0.003,0.002,0.0018850799267679005,0.6,0.0
G-做多,negative,False,15,30,0.0015,<30%,★☆☆观望,距Support,far,17,0.00373872283288198,-0.0004885324242470416,7.652967638011634,0.7058823529411765,0.0,0.00373872283288198,0.0007516848500646413,0.003,0.002,0.0022776363896893546,0.7058823529411765,0.0
G-做多,negative,False,15,30,0.001,<30%,★☆☆观望,距Support,far,23,0.0037366693638570207,-0.0004885324242470416,7.648764295668238,0.6086956521739131,0.0,0.0037366693638570207,0.0009114234545697805,0.003,0.002,0.0018049273145140036,0.6086956521739131,0.0
G+做多,positive,False,10,30,0.001,70-100%,★★★推荐,距HedgeWall,medium,29,0.0018860111814565637,-0.0002486885337032542,7.583828467568323,0.4827586206896552,0.034482758620689655,0.0018860111814565637,0.0008983613113688127,0.002,0.003,0.0011062635726858355,0.4482758620689655,0.0
G+做多,positive,False,30,30,0.002,>100%,★★★推荐,距Support,near,37,0.0031796548676818284,-0.0004281773519543075,7.426023009318675,0.6216216216216216,0.02702702702702703,0.0031796548676818284,0.0009462317711232381,0.003,0.002,0.0017423466037279367,0.5135135135135135,0.0
G+做多,positive,False,10,30,0.0015,>100%,★★★推荐,距Support,near,20,0.003931971087219146,-0.0005410933076460076,7.266715429035593,0.95,0.1,0.003931971087219146,0.0010970080746793296,0.003,0.002,0.002664995785084637,0.85,0.0
G-做多,negative,False,10,30,0.0005,<30%,★☆☆观望,距HedgeWall,near,10,0.0026842111442458914,-0.0003758994846082489,7.140768354719335,0.7,0.3,0.0026842111442458914,0.002096651710967371,0.0025,0.002,0.0010069732156089911,0.6,0.3
G-做多,negative,False,10,30,0.001,70-100%,★★★推荐,距HedgeWall,near,15,0.0017456123088202696,-0.00024629247231091835,7.087558513021127,0.3333333333333333,0.13333333333333333,0.0017456123088202696,0.0017615357024758152,0.0025,0.002,0.0004807201440459332,0.13333333333333333,0.13333333333333333
G-做多,negative,False,15,30,0.0015,70-100%,★★★推荐,距HedgeWall,near,15,0.0017456123088202696,-0.00024629247231091835,7.087558513021127,0.3333333333333333,0.2,0.0017456123088202696,0.0019142869672703305,0.0025,0.002,0.00043449359055848855,0.13333333333333333,0.13333333333333333
G+做多,positive,False,15,15,0.002,>100%,★★★推荐,距Support,near,23,0.003219090326713597,-0.00045507119968143424,7.073816864189764,0.8260869565217391,0.0,0.003219090326713597,0.0008623671808288792,0.003,0.002,0.002389650294399745,0.5217391304347826,0.0
G-做空,negative,True,10,15,0.001,50-70%,★★☆可选,距HedgeWall,medium,25,0.0016233961447348125,-0.00023153264084024754,7.011521739843672,0.28,0.04,0.0016233961447348125,0.0006337107399872125,0.003,0.002,0.0009800156585415363,0.12,0.04
G-做多,negative,False,15,30,0.002,<30%,★☆☆观望,距Support,far,14,0.0037376960983695005,-0.000535199031450473,6.9837497430437425,0.7142857142857143,0.0,0.0037376960983695005,0.0007448700690243144,0.003,0.002,0.002407856990977556,0.7142857142857143,0.0
G-做多,negative,False,10,30,0.0015,<30%,★☆☆观望,距Support,far,12,0.0037376960983695005,-0.000535199031450473,6.9837497430437425,0.75,0.0,0.0037376960983695005,0.0007876455915265282,0.003,0.002,0.002489007825655586,0.75,0.0
G+做多,positive,False,30,15,0.0005,70-100%,★★★推荐,距Support,medium,47,0.0008192601976335451,-0.00011746967349378058,6.9742272474854605,0.3191489361702128,0.0,0.0008192601976335451,0.000957459306491948,0.003,0.002,0.0009629603893279231,0.3191489361702128,0.0
G-做空,negative,True,10,15,0.002,70-100%,★★★推荐,距HedgeWall,near,12,0.003479147861903102,-0.00050006453364793,6.957397751292222,0.6666666666666666,0.16666666666666666,0.003479147861903102,0.000991212515288138,0.003,0.002,0.001771071051873818,0.5833333333333334,0.08333333333333333
G+做多,positive,False,15,15,0.002,70-100%,★★★推荐,距HedgeWall,medium,13,0.0018742209034886552,-0.0002694775708308382,6.9550163218043055,0.46153846153846156,0.0,0.0018742209034886552,0.0007184107758689851,0.003,0.002,0.001454648997995088,0.15384615384615385,0.0
G+做多,positive,False,15,30,0.0015,>100%,★★★推荐,距HedgeWall,far,12,0.00423978634560866,-0.0006121011209196962,6.926610980940996,1.0,0.16666666666666666,0.00423978634560866,0.001399978716127908,0.003,0.002,0.003,1.0,0.0
G+做多,positive,False,15,30,0.002,>100%,★★★推荐,距HedgeWall,far,12,0.00423978634560866,-0.0006121011209196962,6.926610980940996,1.0,0.16666666666666666,0.00423978634560866,0.001399978716127908,0.003,0.002,0.003,1.0,0.0
G-做空,negative,True,10,30,0.0015,50-70%,★★☆可选,距HedgeWall,medium,11,0.0022621411967974803,-0.00032949613806768996,6.8654558747294265,0.5454545454545454,0.0,0.0022621411967974803,0.0005135488071545709,0.003,0.002,0.0016403870071695658,0.2727272727272727,0.0
G-做空,negative,True,15,30,0.002,>100%,★★★推荐,距HedgeWall,near,16,0.006887576402942177,-0.0010072631742860181,6.837911460253992,0.9375,0.0625,0.006887576402942177,0.0015871776748683877,0.003,0.002,0.0027971711560544122,0.875,0.0
G-做多,negative,False,10,15,0.0005,<30%,★☆☆观望,距HedgeWall,near,10,0.00254462747593786,-0.0003758994846082489,6.769435926707359,0.7,0.2,0.00254462747593786,0.0013800489919205527,0.003,0.002,0.0012522568981930568,0.1,0.2
G-做空,negative,True,15,15,0.001,50-70%,★★☆可选,距HedgeWall,medium,30,0.001643110737202822,-0.00024714895564399583,6.64826089562616,0.26666666666666666,0.0,0.001643110737202822,0.0003479540008220977,0.003,0.002,0.0010215281153738657,0.1,0.0
